Plot,TreeID,TreeID_new,Species,Sector ,DBH_u_92,DBH_u_94,DBH_u_97,FOUND_09,Tag_hgt,DBH_Tag_Hgt_09,DBH_BH_09,DBH_Corr_Factor,DBH_c_92_live,DBH_c_94_live,DBH_c_97_live,DBH_09_live,DBH_19_live,DBH_92_dead,DBH_94_dead,DBH_97_dead,DBH_09_dead,DBH_19_dead,,HGT_92,HGT_94,HGT_97,HGT_19,COMMENTS_1992,COMMENTS_1994,COMMENTS_1997,COMMENTS_2009,COMMENTS_2019_May,COMMENTS_2019_Oct,Comments_2020_data,Conk,Blind_Conk,Scar,Fork_Crook,Frost_Crack,Mistletoe,R_Branch,DB_Top,Crown_Class,L_Crown
3,466,N/A,Bl,4,11.7,11.9,12.1,Y,1.22,12.5,12.5,1,11.7,11.9,12.1,12.5,,,,,,12.5,,,,,,natural,,,,dead/down 2019,,,,,,3,,,,,,4
3,468,309,Ep,4,4.8,5.7,6.4,Y,1.3,9,9,1,,,,9,12.5,,,,,,,5.1,6.8,7.1,11.6,,,,,,,,,,,,,,,,,7
3,469,N/A,Bl,4,6.3,6.7,7,Y,1.3,8.3,8.3,1,,,,8.3,10.2,,,,,,,,,,6.2,,,,,,,,,,,3,,,,,,6
3,470,N/A,Bl,4,27.5,28.2,29,Y,1.2,31.1,31.2,1.003215434,27.58842444,28.29067524,29.09324759,31.2,33,,,,,,,22.7,23.6,24.6,27,,,canker on outside,Furrowed bark,,,,,,,,,,,,,6
3,471,308,Bl,4,10.8,11.7,12.3,Y,1.06,15.1,14.5,0.960264901,10.37086093,11.23509934,11.81125828,14.5,17.8,,,,,,,,,,17,,,,,,,,,,,1,,,,,,6
3,472,311,Bl,4,20.8,22,22.9,Y,0.84,26.5,25.2,0.950943396,19.77962264,20.92075472,21.77660377,25.2,29.5,,,,,,,,,,21.2,,,DBH at 1.0m scar at base,,,,,,,1,,,,,,,6
3,473,313,Bl,4,10.2,10.7,11.1,Y,1.07,12.7,12.4,0.976377953,9.959055118,10.44724409,10.83779528,12.4,13.8,,,,,,,,,,11.9,,,,,,,,,,,3,,,,,,7
3,474,N/A,Bl,4,5.9,6.4,6.7,Y,1.08,8.7,8.5,0.977011494,,,,8.5,10.8,,,,,,,,,,,Snowpress,,,,,,,,,,,,,,,,5
3,475,N/A,Bl,4,6.7,6.9,7,Y,1.08,8.2,8,0.975609756,,,,8,9,,,,,,,,,,,,,,,acute lean but still alive and green,,,,,,3,,,,,,6
3,476,307,Bl,4,15.5,16.6,17.4,Y,0.96,21.1,20.6,0.976303318,15.13270142,16.20663507,16.98767773,20.6,24.8,,,,,,,,,,16.7,,,DBH 1.0m,,,,,,,,2,,,,,,6
3,479,310,Bl,4,24.1,25.5,26.9,Y,1.17,31.2,30.8,0.987179487,23.79102564,25.17307692,26.55512821,30.8,35.4,,,,,,,,,,23,,,,,,,,,,,,,,,,,7
3,480,N/A,Bl,4,7.7,8.4,9,Y,1.1,10.9,10.5,0.963302752,,8.091743119,8.669724771,10.5,12,,,,,,,,,,,,,,,,,,,,,,,,,,,8
3,484,312,Bl,4,13.8,14.5,15,Y,1,17.3,17,0.98265896,13.56069364,14.24855491,14.73988439,17,19.6,,,,,,,,,,15.1,,,,,,,,,,,,,,,,,6
3,485,N/A,Bl,4,14.4,14.5,14.8,Y,1.1,16,15.9,0.99375,14.31,14.409375,14.7075,15.9,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3,487,N/A,Bl,4,10.2,10.5,10.9,Y,1.1,13.6,13.5,0.992647059,10.125,10.42279412,10.81985294,13.5,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3,488,N/A,Bl,4,6.3,6.8,7.2,Y,1.14,9.5,9.4,0.989473684,,,,9.4,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,7
3,69,N/A,Bl,1,,,5.8,Y,1.04,7.3,6.9,0.945205479,,,,,8.5,,,,,,,,,,,,,new 1997,,,,,,,,,,,,,,
3,71,N/A,Bl,4,,,4.1,y,1.3,6.6,6.6,1,,,,,8.8,,,,,,,,,,,,,new1997,,,,,,,,,,,,,,
3,,530,Bl,,,,,,,,,,,,,,9.2,,,,,,,,,,6.4,,,,,,ADDED OCT 2019,,,,,,,,,,,
3,,531,Bl,,,,,,,,,,,,,,9.7,,,,,,,,,,8,,,,,,ADDED OCT 2019,,,,,,,,,,,
3,,532,Bl,,,,,,,,,,,,,,9.9,,,,,,,,,,,,,,,,ADDED OCT 2019,,,,,,,,,,,
3,,533,Bl,,,,,,,,,,,,,,11.3,,,,,,,,,,9.3,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,845,60,Bl,1,,29.5,30.9,Y,1.3,35.7,35.7,1,,29.5,30.9,35.7,39.2,,,,,,,,,19.9,,,Bark Scar,,Live - frost crack,,old frost crack in 1,,,,,,,,,,,
4,846,61,Bl,1,,20,21.6,Y,1.3,26.3,26.3,1,,20,21.6,26.3,31.4,,,,,,,,,18.1,,,,,Live,,,,,,1,,,,,,,
4,847,N/A,Bl,1,,10.9,11.5,Y,1.3,14.2,14.2,1,,10.9,11.5,14.2,16.1,,,,,,,,,13.3,,,,,Live,,,,,,,,,,,,,
4,848,,Bl,1,,17.2,18.2,Y,1.3,17.8,,0,,,,,,,,,17.8,,,,,,,,,porcupine damage at base,Grey dead - 2009,on ground,,,,,,,,,,,,
4,849,N/A,Bl,1,,8,8.2,N,,,,,,8,8.2,13,17.1,,,,,,,,8,8.4,12.5,,,,Missing,Found!,,,,,,,,,,,,
4,850,,Bl,1,,20.5,21.6,Y,,,,,,20.5,21.6,,,,,,21.6,,,,,,,,,,Uprooted - grey dead,Dead (2009),,,,,,,,,,,,
4,851,,Bl,1,,12.4,12.8,N,,,,,,12.4,12.8,,,,,,12.8,,,,11.8,12,,,,,Missing,Missing (2009),,,,,1,,,,,,,
4,852,,Bl,2,,24.1,24.9,Y,,,,,,24.1,24.9,,,,,,24.9,,,,19,19.5,,,Some Sapsuckering,,Uprooted - grey dead,Dead (2009),,,,,,,,,,,,
4,853,64,Bl,2,,4.7,5.3,Y,1.3,10.5,10.5,1,,,,10.5,17.3,,,,,,,,,,13.4,,,,Live,,,,,,,,,,,,,
4,854,63,Bl,2,,17.5,18.5,Y,1.3,23.8,23.8,1,,17.5,18.5,23.8,29,,,,,,,,,,17.8,,,,Live,,,,,,,,,,,,,
4,856,65,Bl,2,,15.9,17,Y,1.3,21.6,21.6,1,,15.9,17,21.6,27.6,,,,,,,,11,11.7,18,,,,Live,,,,,,,,,,,,,
4,857,66,Bl,2,,7.4,8.3,Y,1.3,10.8,10.8,1,,,8.3,10.8,13.5,,,,,,,,,,9.3,,,,Live,,,,,,,,,,,,,
4,858,,Bl,2,,10.4,10.9,N,,,,,,10.4,10.9,,,,,,10.9,,,,,,,,,Leaner,Missing,Missing (2009),,,,,,,,,,,,
4,859,74,Bl,2,,10.5,11.6,Y,1.3,15.5,15.5,1,,10.5,11.6,15.5,19.8,,,,,,,,,,13.6,,,,Live,,,,,,,,,,,,,
4,860,62,Bl,2,,15.4,16.5,Y,1.3,21.6,21.6,1,,15.4,16.5,21.6,26.5,,,,,,,,,,18.4,,,,Live,,,,,,,,,,,,,
4,861,68,Bl,2,,16,17.4,Y,1.3,22,22,1,,16,17.4,22,25.3,,,,,,,,,,16,,,,Live,,,,,,,,,,,,,
4,862,,Bl,3,,14.1,14.7,Y,1.3,17.2,17.2,1,,14.1,14.7,17.2,19,,,,,,,,,,13.8,,,,Live,,"crown thinning, multiple leaders",,,,,,,,,,,
4,863,67,Bl,3,,12.1,13.9,Y,,,17.2,,,,,17.2,21.5,,,,,,,,,,14.5,,,missing tag,Just within plot with no tag,,,,,,,,,,,,,
4,864,,Bl,3,,20.4,21.6,Y,,,,,,20.4,21.6,,,,,,21.6,,,,,,,,,,Uprooted - grey dead,Dead (2009),,,,,,,,,,,,
4,867,N/A,Bl,3,,4.9,5.4,Y,1.3,7.1,7.1,1,,,,,10.1,,,,,,,,,,7.1,,,,Live,,,,,,,,,,,,,
4,868,N/A,Bl,3,,6.3,6.7,Y,1.3,9.2,9.2,1,,,,9.2,12.4,,,,,,,,,,10.7,,,,Live,,,,,,,,,,,,,
4,869,N/A,Bl,3,,8.3,8.6,Y,1.3,12,12,1,,8.3,8.6,12,15.4,,,,,,,,,,11.5,,,,Live,,,,,,,,,,,,,
4,870,N/A,Bl,3,,12.6,13.1,Y,1.3,15.7,15.7,1,,12.6,13.1,15.7,17.7,,,,,,,,,,13.1,,,,Live,,,,,,,,,,,,,
4,871,69,Bl,3,,12.7,13.6,Y,1.3,18.9,18.9,1,,12.7,13.6,18.9,24.7,,,,,,,,,,16.7,,,,Live,,,,,,,,,,,,,
4,873,,Bl,3,,28.6,29.8,Y,,,,,,28.6,29.8,,,,,,29.8,,,,,,,,,,Uprooted - grey dead,Dead (2009),,,,,,,,,,,,
4,874,,Bl,3,,23.2,,N,,,,,,23.2,,,,,,23.2,,,,,20.6,,,,,windthrow,Windthrow,Windthrow (1997),,,,,,,,,,,,
4,875,,Bl,3,,18.9,19.3,Y,,,,,,18.9,19.3,,,,,,19.3,,,,,,,,,,Uprooted - grey dead,Dead (2009),,,,,,,,,,,,
4,876,,Sx,3,,39.6,41.1,Y,,,,,,39.6,41.1,,,,,,41.1,,,,26.8,27,,,,,Uprooted - grey dead,Dead (2009),,,,,,,,,,,,
4,877,70,Bl,3,,12,13.9,Y,1.3,22.1,22.1,1,,12,13.9,22.1,28.5,,,,,,,,,,17.8,,,,Live,,,,,,,,,,,,,
4,878,,Bl,4,,21.6,,Y,,,,,,21.6,,,,,,21.6,,,,,,,,,,windthrow,Windthrow,Windthrow (1997),,,,,,,,,,,,
4,879,512,Bl,4,,5.8,6.4,Y,1.3,9.5,9.5,1,,,,9.5,12.5,,,,,,,,,,,,,,Live,,,,,,,,,,,,,
4,880,86,Bl,4,,32.3,33.6,Y,1.47,39.3,39.4,1.002544529,,32.3821883,33.68549618,39.4,44.4,,,,,,,,21.6,22,24,,,,Live,,old frost crack in 1,,,,,,,,,,,
4,881,N/A,Bl,4,,20.1,21.2,Y,1.37,25.8,25.7,0.996124031,,20.02209302,21.11782946,25.7,28.7,,,,,,,,,,21.7,,Minor fork dead,,Live,,,,,,,,,,,,,
4,882,72,Bl,4,,4,4.7,Y,1.22,7.8,7.6,0.974358974,,,,7.6,11.4,,,,,,,,,,9.8,,,,Live,,,,,,,,,,,,,
4,883,71,Bl,4,,4.9,6,Y,1.13,13.2,12.7,0.962121212,,,,12.7,21.4,,,,,,,,,,13.4,,Bent leader,,Live,,,,,,,,,,,,,
4,884,N/A,Sx,4,,38.9,39.5,Y,1.44,40.4,40.7,1.007425743,,39.18886139,39.79331683,40.7,42.3,,,,,,,,27.1,26.9,26.6,,,,Live,,confirmed 2019 height,,,,,,,,,,,
4,886,73,Bl,4,,8.4,10.1,Y,1.3,14,14,1,,8.4,10.1,14,18,,,,,,,,,,12.7,,,,Live,,,,,,,,,,,,,
4,,501,Sx,,,,,,,,,,,,,,9.2,,,,,,,,,,,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,502,Sx,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,,ADDED OCT 2019; leaner,,,,,,,,,,,
4,,503,Bl,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,504,Bl,,,,,,,,,,,,,,8.1,,,,,,,,,,5.2,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,505,Bl,,,,,,,,,,,,,,8.6,,,,,,,,,,5.3,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,506,Sx,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,507,Bl,,,,,,,,,,,,,,9.3,,,,,,,,,,,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,508,Bl,,,,,,,,,,,,,,10.7,,,,,,,,,,8.8,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,509,Sx,,,,,,,,,,,,,,9.9,,,,,,,,,,6.9,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,510,Sx,,,,,,,,,,,,,,8.9,,,,,,,,,,7.3,,,,,,ADDED OCT 2019,,,,,,,,,,,
4,,511,Bl,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,ADDED OCT 2019; broken top (2019),,,,,,,,,,,
5,489,--,Bl,1,5.9,5.8,6.7,Y,1.16,10.4,10.3,0.990384615,,,,10.3,13,,,,,,,,,--,10.4,,Dead top,Lateral leader,,,healthy,,,,,,2,,,3,,3
5,42,2,Bl,2,12.2,12.8,14.9,Y,1.05,20,19.7,0.985,12.017,12.608,14.6765,19.7,22.8,,,,,,,,,--,15.6,,,,,,healthy,,,,,,,,,,,4
5,43,3,Bl,2,15.4,16,18.3,Y,1.3,24.5,24.5,1,15.4,16,18.3,24.5,29.1,,,,,,,12.5,12.6,13.1,18,,,,,,,,,,,,,,,,,4
5,44,--,Sx,2,17.7,17.7,18.9,Y,1.1,22.9,22.7,0.991266376,17.54541485,17.54541485,18.7349345,22.7,24.5,,,,,,,11.3,11.2,11.3,10.7,,Broken Top,Broken top,,,broken top,,,,,3,,,,3,,5
5,45,4,Bl,2,4.8,5.1,6,Y,1.08,9.8,9.2,0.93877551,,,,9.2,11.8,,,,,,,,,--,--,,,,,,"fork @ 3m, broken top",,,,,3,,,,,,6
5,48,5,Bl,2,10.3,10.7,,Y,1.13,20.9,20.5,0.980861244,10.10287081,10.49521531,,20.5,25.1,,,,,,,,,--,15.3,,,Missing,Found,,healthy,,,,1,3,,,,,,4
5,52,6,Bl,3,9.6,10.2,11.6,Y,1.1,17.5,17.2,0.982857143,9.435428571,10.02514286,11.40114286,17.2,21.2,,,,,,,8.8,8.9,9,14.3,Natural,ls,,,,healthy,,,,,,,,,,,6
5,54,--,Bl,3,18,18.7,20.7,Y,1.16,25.2,24.8,0.984126984,17.71428571,18.4031746,20.37142857,24.8,26.5,,,,,,,19.1,14.9,15.3,17,LAB,"""Leave"" written on tree",scar on trunk,,,"scar in 1, crown fading",,,,,3,,,,,,5
5,56,8,Bl,3,6.8,7.3,9.7,Y,1.09,14.3,14,0.979020979,,,9.496503497,14,17.5,,,,,,,,,--,--,,,,,,healthy,,,,,,,,,,,8
5,60,7,Bl,4,12.5,13.4,16.7,Y,1.18,25,25,1,12.5,13.4,16.7,25,29.6,,,,,,,,,--,16.5,,,,,,,,,,,,,,,,,8
5,61,9,Bl,4,10.8,11.2,13.2,Y,1.05,17.5,16.8,0.96,10.368,10.752,12.672,16.8,19.4,,,,,,,,,--,13.9,spike2,ab (spike),big scar on trunk,,,,,,,,,,,,,,5
5,65,11,Bl,4,15.3,8.7,9.5,Y,1.18,13.2,13,0.984848485,15.06818182,8.568181818,9.356060606,13,15.3,,,,,,,,,--,--,natural,,,,,"broken top, fork at crook in 3",,,,1,,,,,,,8
5,67,18,Bl,4,11.4,12.4,14.8,Y,1.3,21.5,21.5,1,11.4,12.4,14.8,21.5,25.5,,,,,,,9.2,9.5,--,15.4,,,,,,,,,,,,,,,,,8
5,69,19,Bl,4,6,6.5,7.3,Y,1.25,11.4,11.4,1,,,,11.4,13,,,,,,,,,--,--,,,,,,healthy,,,,,,,,,,,6
5,70,N/A,Bl,4,6.9,7,7.8,Y,1.3,8,8,1,,,7.8,8,8.4,,,,,,,4.7,4.9,--,--,,,,,,suppressed,,,,,,,,,,,6
5,72,20,Bl,4,11.4,11.8,12.7,Y,1.17,16.4,15.9,0.969512195,11.05243902,11.4402439,12.31280488,15.9,18.1,,,,,,,,,--,--,,,,,,,,,,,,,,,,,5
5,New,--,Bl,2,,,,,,,9.5,,,,,9.5,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Bl,2,,,,,,,7.5,,,,,7.5,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Bl,2,,,,,,,8.4,,,,,8.4,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Bl,3,,,,,,,19.2,,,,,19.2,--,,,,,,,--,--,--,--,--,--,--,Possible missing tag?,,,,,,,,,,,,,
5,New,--,Bl,3,,,,,,,11.1,,,,,11.1,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Sx,3,,,,,,,10.4,,,,,10.4,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Bl,2,,,,,,,9.1,,,,,9.1,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Bl,2,,,,,,,7.5,,,,,7.5,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Bl,2,,,,,,,7.8,,,,,7.8,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
5,New,--,Bl,2,,,,,,,15.1,,,,,15.1,--,,,,,,,--,--,--,--,--,--,--,New ingress - live,,,,,,,,,,,,,
